routeNo,route
1,Colombo - Kandy
2,Colombo - Matara
3,Colombo - Kataragama
4,Colombo - Mannar
5,Colombo - Kurunegala
6,Colombo - Kalpitiya
7,Colombo - Matale
8,Colombo - Theldeniya
9,Kataragama - Kandy
01,Colombo - Kandy
02,Colombo - Matara
03,Colombo - Kataragama
04,Colombo - Mannar
05,Colombo - Kurunegala
06,Colombo - Kalpitiya
07,Colombo - Matale
08,Colombo - Theldeniya
09,Kataragama - Kandy
10,Matara - Ratnapura
11,Colombo - Dayagama
12,Kandy - Monaragala
13,Colombo - Medawachchiya
14,Colombo - Nawalapitiya
15,Panadura - Kandy
16,Colombo - Hatton
17,Colombo - Gampola
20,Avissawella - Kithulgala
21,Colombo - Hakmana
22,Badulla - Batticaloa
23,Matara - Bandarawela
33,Colombo - Kalmunai
34,Colombo - Trincomalee
35,Kandy - Hingurakgoda
36,Colombo - Anuradhapura
37,Colombo - Deniyaya
135,Colombo - Kaleliya